Sample in Buffer,Sample in Window,TRIGGER,dut/design_1_i/Vac_debug_valid,dut/design_1_i/isen_debug_decimal_out[15:0],dut/design_1_i/Vbus_debug_decimal_out[15:0],dut/design_1_i/Vac_debug_decimal_out[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,UNSIGNED,UNSIGNED,UNSIGNED
608,608,0,0,225,0,33
609,609,0,0,225,0,33
610,610,0,0,225,0,33
611,611,0,0,225,0,33
612,612,0,0,225,0,33
613,613,0,0,225,0,33
614,614,0,0,225,0,33
615,615,0,0,225,0,33
616,616,0,0,225,0,33
617,617,0,0,225,0,33
618,618,0,0,225,0,33
619,619,0,0,225,0,33
620,620,0,0,225,0,33
621,621,0,0,225,0,33
622,622,0,0,225,0,33
623,623,0,0,225,0,33
624,624,0,0,225,0,33
625,625,0,0,225,0,33
626,626,0,0,225,0,33
627,627,0,0,225,0,33
628,628,0,0,225,0,33
629,629,0,0,225,0,33
630,630,0,0,225,0,33
631,631,0,0,225,0,33
632,632,0,0,225,0,33
633,633,0,0,225,0,33
634,634,0,0,225,0,33
635,635,0,0,225,0,33
636,636,0,0,225,0,33
637,637,0,0,225,0,33
638,638,0,0,225,0,33
639,639,0,0,225,0,33
640,640,0,0,225,0,33
641,641,0,0,225,0,33
642,642,0,0,225,0,33
643,643,0,0,225,0,33
644,644,0,0,225,0,33
645,645,0,0,225,0,33
646,646,0,0,225,0,33
647,647,0,0,225,0,33
648,648,0,0,225,0,33
649,649,0,0,225,0,33
650,650,0,0,225,0,33
651,651,0,0,225,0,33
652,652,0,0,225,0,33
653,653,0,0,225,0,33
654,654,0,0,225,0,33
655,655,0,0,225,0,33
656,656,0,0,225,0,33
657,657,0,0,225,0,33
658,658,0,0,225,0,33
659,659,0,0,225,0,33
660,660,0,0,225,0,33
661,661,0,0,225,0,33
662,662,0,0,225,0,33
663,663,0,0,225,0,33
664,664,0,0,225,0,33
665,665,0,0,225,0,33
666,666,0,0,225,0,33
667,667,0,0,225,0,33
668,668,0,0,225,0,33
669,669,0,0,225,0,33
670,670,0,0,225,0,33
671,671,0,0,225,0,33
672,672,0,0,225,0,33
673,673,0,0,225,0,33
674,674,0,0,225,0,33
675,675,0,0,225,0,33
676,676,0,0,225,0,33
677,677,0,0,225,0,33
678,678,0,0,225,0,33
679,679,0,0,225,0,33
680,680,0,0,225,0,33
681,681,0,0,225,0,33
682,682,0,0,225,0,33
683,683,0,0,225,0,33
684,684,0,0,225,0,33
685,685,0,0,225,0,33
686,686,0,0,225,0,33
687,687,0,0,225,0,33
688,688,0,0,225,0,33
689,689,0,0,225,0,33
690,690,0,0,225,0,33
691,691,0,0,225,0,33
692,692,0,0,225,0,33
693,693,0,0,225,0,33
694,694,0,0,225,0,33
695,695,0,0,225,0,33
696,696,0,0,225,0,33
697,697,0,0,225,0,33
698,698,0,0,225,0,33
