Sample in Buffer,Sample in Window,TRIGGER,dut/design_1_i/Vac_debug_valid,dut/design_1_i/isen_debug_decimal_out[15:0],dut/design_1_i/Vbus_debug_decimal_out[15:0],dut/design_1_i/Vac_debug_decimal_out[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,UNSIGNED,UNSIGNED,UNSIGNED
820,820,0,0,145,24,60
821,821,0,0,145,24,60
822,822,0,0,145,24,60
823,823,0,0,145,24,60
824,824,0,0,145,24,60
825,825,0,0,145,24,60
826,826,0,0,145,24,60
827,827,0,0,145,24,60
828,828,0,0,145,24,60
829,829,0,0,145,24,60
830,830,0,0,145,24,60
831,831,0,0,145,24,60
832,832,0,0,145,24,60
833,833,0,0,145,24,60
834,834,0,0,145,24,60
835,835,0,0,145,24,60
836,836,0,0,145,24,60
837,837,0,0,145,24,60
838,838,0,0,145,24,60
839,839,0,0,145,24,60
840,840,0,0,145,24,60
841,841,0,0,145,24,60
842,842,0,0,145,24,60
843,843,0,0,145,24,60
844,844,0,0,145,24,60
845,845,0,0,145,24,60
846,846,0,0,145,24,60
847,847,0,0,145,24,60
848,848,0,0,145,24,60
849,849,0,0,145,24,60
850,850,0,0,145,24,60
851,851,0,0,145,24,60
852,852,0,0,145,24,60
853,853,0,0,145,24,60
854,854,0,0,145,24,60
855,855,0,0,145,24,60
856,856,0,0,145,24,60
857,857,0,0,145,24,60
858,858,0,0,145,24,60
859,859,0,0,145,24,60
860,860,0,0,145,24,60
861,861,0,0,145,24,60
862,862,0,0,145,24,60
863,863,0,0,145,24,60
864,864,0,0,145,24,60
865,865,0,0,145,24,60
866,866,0,0,145,24,60
867,867,0,0,145,24,60
868,868,0,0,145,24,60
869,869,0,0,145,24,60
870,870,0,0,145,24,60
871,871,0,0,145,24,60
872,872,0,0,145,24,60
873,873,0,0,145,24,60
874,874,0,0,145,24,60
875,875,0,0,145,24,60
876,876,0,0,145,24,60
877,877,0,0,145,24,60
878,878,0,0,145,24,60
879,879,0,0,145,24,60
880,880,0,0,145,24,60
881,881,0,0,145,24,60
882,882,0,0,145,24,60
883,883,0,0,145,24,60
884,884,0,0,145,24,60
885,885,0,0,145,24,60
886,886,0,0,145,24,60
887,887,0,0,145,24,60
888,888,0,0,145,24,60
889,889,0,0,145,24,60
890,890,0,0,145,24,60
891,891,0,0,145,24,60
892,892,0,0,145,24,60
893,893,0,0,145,24,60
894,894,0,0,145,24,60
895,895,0,0,145,24,60
896,896,0,0,145,24,60
897,897,0,0,145,24,60
898,898,0,0,145,24,60
899,899,0,0,145,24,60
900,900,0,0,145,24,60
901,901,0,0,145,24,60
902,902,0,0,145,24,60
903,903,0,0,145,24,60
904,904,0,0,145,24,60
905,905,0,0,145,24,60
906,906,0,0,145,24,60
907,907,0,0,145,24,60
908,908,0,0,145,24,60
909,909,0,0,145,24,60
910,910,0,0,145,24,60
911,911,0,0,145,24,60
912,912,0,0,145,24,60
913,913,0,0,145,24,60
914,914,0,0,145,24,60
915,915,0,0,145,24,60
916,916,0,0,145,24,60
917,917,0,0,145,24,60
918,918,0,0,145,24,60
919,919,0,0,145,24,60
920,920,0,0,145,24,60
921,921,0,0,145,24,60
922,922,0,0,145,24,60
923,923,0,0,145,24,60
924,924,0,0,145,24,60
925,925,0,0,145,24,60
926,926,0,0,145,24,60
927,927,0,0,145,24,60
928,928,0,0,145,24,60
929,929,0,0,145,24,60
930,930,0,0,145,24,60
931,931,0,0,145,24,60
932,932,0,0,145,24,60
933,933,0,0,145,24,60
934,934,0,0,145,24,60
935,935,0,0,145,24,60
